imdb_id,title,year_raw,released,runtime_raw,genres,director,writer,actors,language,country,awards,imdb_rating_raw,imdb_votes_raw,metascore_raw,box_office_raw,production,plot,rated,year,runtime_min,imdb_rating,imdb_votes,metascore,box_office_usd,decade,genres_list
tt0126916,For Love of the Game,1999,17 Sep 1999,137 min,"Drama, Romance, Sport",Sam Raimi,"Michael Shaara, Dana Stevens","Kevin Costner, Kelly Preston, John C. Reilly",English,United States,7 nominations total,6.6,"39,393",43,"$35,188,640",N/A,"After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there.",PG-13,1999,137,6.6,39393,43.0,35188640.0,1990,"['Drama', 'Romance', 'Sport']"
tt0066011,Love Story,1970,16 Dec 1970,100 min,"Drama, Romance",Arthur Hiller,Erich Segal,"Ali MacGraw, Ryan O'Neal, John Marley",English,United States,Won 1 Oscar. 10 wins & 17 nominations total,6.9,"38,984",84,"$106,550,690",N/A,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,PG,1970,100,6.9,38984,84.0,106550690.0,1970,"['Drama', 'Romance']"
tt1032815,"I Love You, Beth Cooper",2009,10 Jul 2009,102 min,"Adventure, Comedy, Family",Chris Columbus,Larry Doyle,"Hayden Panettiere, Paul Rust, Jack Carpenter",English,"United States, Canada, United Kingdom",1 win & 1 nomination total,5.3,"38,522",32,"$14,800,725",N/A,"A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life.",PG-13,2009,102,5.3,38522,32.0,14800725.0,2000,"['Adventure', 'Comedy', 'Family']"
tt8521778,Bob Marley: One Love,2024,14 Feb 2024,107 min,"Biography, Drama, Music",Reinaldo Marcus Green,"Terence Winter, Frank E. Flowers, Zach Baylin","Kingsley Ben-Adir, Lashana Lynch, James Norton",English,United States,2 wins & 14 nominations total,6.2,"35,718",43,"$96,981,216",N/A,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.",PG-13,2024,107,6.2,35718,43.0,96981216.0,2020,"['Biography', 'Drama', 'Music']"
tt0490076,All the Boys Love Mandy Lane,2006,06 Sep 2013,90 min,"Horror, Mystery, Thriller",Jonathan Levine,Jacob Forman,"Amber Heard, Anson Mount, Whitney Able",English,United States,1 nomination total,5.5,"35,576",44,N/A,N/A,"A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously.",R,2006,90,5.5,35576,44.0,,2000,"['Horror', 'Mystery', 'Thriller']"
tt0899106,Love Happens,2009,18 Sep 2009,109 min,"Drama, Romance",Brandon Camp,"Brandon Camp, Mike Thompson","Jennifer Aniston, Aaron Eckhart, Dan Fogler",English,"United States, Canada, United Kingdom",1 win total,5.7,"34,283",33,"$22,965,110",N/A,"A widower whose book about coping with loss turns him into a best-selling self-help guru, falls for the hotel florist where his seminar is given, only to learn that he hasn't yet truly confronted his wife's passing.",PG-13,2009,109,5.7,34283,33.0,22965110.0,2000,"['Drama', 'Romance']"
tt0417001,Must Love Dogs,2005,29 Jul 2005,98 min,"Comedy, Romance",Gary David Goldberg,"Claire Cook, Gary David Goldberg","Diane Lane, John Cusack, Elizabeth Perkins","English, Armenian",United States,1 nomination total,5.9,"33,823",46,"$43,894,863",N/A,"Sarah Nolan, a preschool teacher, is forced into finding a man after her sister Carol makes her a profile on a matchmaking website. Her life is changed when she meets Jake, a recent divorcee.",PG-13,2005,98,5.9,33823,46.0,43894863.0,2000,"['Comedy', 'Romance']"
tt2279339,Love the Coopers,2015,13 Nov 2015,107 min,"Comedy, Fantasy, Romance",Jessie Nelson,Steven Rogers,"Steve Martin, Diane Keaton, John Goodman",English,United States,2 nominations total,5.8,"28,112",31,"$26,302,731",N/A,The intertwined stories of four generations of Coopers unfold right before the annual family reunion on Christmas Eve. Can they survive the most beautiful time of the year?,PG-13,2015,107,5.8,28112,31.0,26302731.0,2010,"['Comedy', 'Fantasy', 'Romance']"
tt0369672,A Love Song for Bobby Long,2004,21 Jan 2005,119 min,Drama,Shainee Gabel,"Ronald Everett Capps, Shainee Gabel","Scarlett Johansson, John Travolta, Gabriel Macht",English,United States,4 nominations total,7.1,"27,808",48,"$164,308",N/A,A headstrong young woman returns to New Orleans after the death of her estranged mother.,R,2004,119,7.1,27808,48.0,164308.0,2000,['Drama']
tt0371746,Iron Man,2008,02 May 2008,126 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","United States, Canada",Nominated for 2 Oscars. 24 wins & 73 nominations total,7.9,"1,183,300",79,"$319,034,126",N/A,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",PG-13,2008,126,7.9,1183300,79.0,319034126.0,2000,"['Action', 'Adventure', 'Sci-Fi']"
